# 
#
# USGS Parameter Code Definitions File
#
# Column Definitions
#  parameter_cd  - Parameter Code
#  parameter_group_nm  - Group Name
#  parameter_nm  - Parameter Name/Description
#  casrn  - CASRN
#  srsname  - SRSName
#  parameter_units  - Parameter Unit
#
#
# Date Retrieved: 2017-06-14 13:33:26 EDT
#
parameter_cd	parameter_group_nm	parameter_nm	casrn	srsname	parameter_units
19050	Organics, PCBs	PCB congener 174, water, filtered, recoverable, nanograms per liter	38411-25-5	2,2',3,3',4,5,6'-Heptachlorobiphenyl	ng/l
19051	Organics, PCBs	PCB congener 177, water, filtered, recoverable, nanograms per liter	52663-70-4	2,2',3,3',4,5',6'-Heptachlorobiphenyl	ng/l
19052	Organics, PCBs	PCB congeners 171 plus 202, water, filtered, recoverable, nanograms per liter		PCB-171/202	ng/l
19053	Organics, PCBs	PCB congeners 172 plus 197, water, filtered, recoverable, nanograms per liter		PCB-172/197	ng/l
19054	Organics, PCBs	PCB congener 180, water, filtered, recoverable, nanograms per liter	35065-29-3	2,2',3,4,4',5,5'-Heptachlorobiphenyl	ng/l
19055	Organics, PCBs	PCB congener 199, water, filtered, recoverable, nanograms per liter	52663-75-9	2,2',3,3',4,5,5',6'-Octachlorobiphenyl	ng/l
19056	Organics, PCBs	PCB congeners 170 plus 190, water, filtered, recoverable, nanograms per liter		PCB-170/190	ng/l
19057	Organics, PCBs	PCB congener 201, water, filtered, recoverable, nanograms per liter	40186-71-8	2,2',3,3',4,5',6,6'-Octachlorobiphenyl	ng/l
19058	Organics, PCBs	PCB congeners 196 plus 203, water, filtered, recoverable, nanograms per liter		PCB-196/203	ng/l
19059	Organics, PCBs	PCB congeners 195 plus 208, water, filtered, recoverable, nanograms per liter		PCB-195/208	ng/l
19060	Organics, PCBs	PCB congener 194, water, filtered, recoverable, nanograms per liter	35694-08-7	2,2',3,3',4,4',5,5'-Octachlorobiphenyl	ng/l
19061	Organics, PCBs	PCB congener 206, water, filtered, recoverable, nanograms per liter	40186-72-9	2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl	ng/l
19065	Organics, PCBs	PCB congener 7, suspended sediment, recoverable, nanograms per liter	33284-50-3	2,4-Dichlorobiphenyl	ng/l
19066	Organics, PCBs	PCB congener 6, suspended sediment, recoverable, nanograms per liter	25569-80-6	2,3'-Dichlorobiphenyl	ng/l
19067	Organics, PCBs	PCB congeners 5 plus 8, suspended sediment, recoverable, nanograms per liter		PCB-5/8	ng/l
19068	Organics, PCBs	PCB congener 19, suspended sediment, recoverable, nanograms per liter	38444-73-4	2,2',6-Trichlorobiphenyl	ng/l
19069	Organics, PCBs	PCB congener 18, suspended sediment, recoverable, nanograms per liter	37680-65-2	2,2',5-Trichlorobiphenyl	ng/l
19070	Organics, PCBs	PCB congener 17, suspended sediment, recoverable, nanograms per liter	37680-66-3	2,2',4-Trichlorobiphenyl	ng/l
19071	Organics, PCBs	PCB congeners 24 plus 27, suspended sediment, recoverable, nanograms per liter		PCB-24/27	ng/l
19072	Organics, PCBs	PCB congeners 16 plus 32, suspended sediment, recoverable, nanograms per liter		PCB-16/32	ng/l
19073	Organics, PCBs	PCB congener 26, suspended sediment, recoverable, nanograms per liter	38444-81-4	2,3',5-Trichlorobiphenyl	ng/l
19074	Organics, PCBs	PCB congeners 28 plus 31, suspended sediment, recoverable, nanograms per liter		PCB-28/31	ng/l
19075	Organics, PCBs	PCB congener 33, suspended sediment, recoverable, nanograms per liter	38444-86-9	2,3',4'-Trichlorobiphenyl	ng/l
19076	Organics, PCBs	PCB congener 22, suspended sediment, recoverable, nanograms per liter	38444-85-8	2,3,4'-Trichlorobiphenyl	ng/l
19077	Organics, PCBs	PCB congener 45, suspended sediment, recoverable, nanograms per liter	70362-45-7	2,2',3,6-Tetrachlorobiphenyl	ng/l
19078	Organics, PCBs	PCB congener 46, suspended sediment, recoverable, nanograms per liter	41464-47-5	2,2',3,6'-Tetrachlorobiphenyl	ng/l
19079	Organics, PCBs	PCB congener 52, suspended sediment, recoverable, nanograms per liter	35693-99-3	2,2',5,5'-Tetrachlorobiphenyl	ng/l
19080	Organics, PCBs	PCB congener 49, suspended sediment, recoverable, nanograms per liter	41464-40-8	2,2',4,5'-Tetrachlorobiphenyl	ng/l
19081	Organics, PCBs	PCB congeners 47 plus 48, suspended sediment, recoverable, nanograms per liter		PCB-47/48	ng/l
19082	Organics, PCBs	PCB congener 44, suspended sediment, recoverable, nanograms per liter	41464-39-5	2,2',3,5'-Tetrachlorobiphenyl	ng/l
19083	Organics, PCBs	PCB congeners 37 plus 42, suspended sediment, recoverable, nanograms per liter		PCB-37/42	ng/l
19084	Organics, PCBs	PCB congeners 41 plus 64 plus 71, suspended sediment, recoverable, nanograms per liter		PCB-41/64/71	ng/l
19085	Organics, PCBs	PCB congener 40, suspended sediment, recoverable, nanograms per liter	38444-93-8	2,2',3,3'-Tetrachlorobiphenyl	ng/l
19086	Organics, PCBs	PCB congener 74, suspended sediment, recoverable, nanograms per liter	32690-93-0	2,4,4',5-Tetrachlorobiphenyl	ng/l
19087	Organics, PCBs	PCB congeners 70 plus 76, suspended sediment, recoverable, nanograms per liter		PCB-70/76	ng/l
19088	Organics, PCBs	PCB congeners 66 plus 95, suspended sediment, recoverable, nanograms per liter		PCB-66/95	ng/l
19089	Organics, PCBs	PCB congener 91, suspended sediment, recoverable, nanograms per liter	68194-05-8	2,2',3,4',6-Pentachlorobiphenyl	ng/l
19090	Organics, PCBs	PCB congeners 56 plus 60, suspended sediment, recoverable, nanograms per liter		PCB-56/60	ng/l
19091	Organics, PCBs	PCB congeners 84 plus 92, suspended sediment, recoverable, nanograms per liter		PCB-84/92	ng/l
19092	Organics, PCBs	PCB congener 101, suspended sediment, recoverable, nanograms per liter	37680-73-2	2,2',4,5,5'-Pentachlorobiphenyl	ng/l
19093	Organics, PCBs	PCB congener 99, suspended sediment, recoverable, nanograms per liter	38380-01-7	2,2',4,4',5-Pentachlorobiphenyl	ng/l
19094	Organics, PCBs	PCB congener 97, suspended sediment, recoverable, nanograms per liter	41464-51-1	2,2',3,4',5'-Pentachlorobiphenyl	ng/l
19095	Organics, PCBs	PCB congener 87, suspended sediment, recoverable, nanograms per liter	38380-02-8	2,2',3,4,5'-Pentachlorobiphenyl	ng/l
19096	Organics, PCBs	PCB congener 85, suspended sediment, recoverable, nanograms per liter	65510-45-4	2,2',3,4,4'-Pentachlorobiphenyl	ng/l
19097	Organics, PCBs	PCB congener 136, suspended sediment, recoverable, nanograms per liter	38411-22-2	2,2',3,3',6,6'-Hexachlorobiphenyl	ng/l
19098	Organics, PCBs	PCB congeners 77 plus 110, suspended sediment, recoverable, nanograms per liter		PCB-77/110	ng/l
19099	Organics, PCBs	PCB congener 82, suspended sediment, recoverable, nanograms per liter	52663-62-4	2,2',3,3',4-Pentachlorobiphenyl	ng/l
19100	Organics, PCBs	PCB congener 151, suspended sediment, recoverable, nanograms per liter	52663-63-5	2,2',3,5,5',6-Hexachlorobiphenyl	ng/l
19101	Organics, PCBs	PCB congeners 135 plus 144, suspended sediment, recoverable, nanograms per liter		PCB-135/144	ng/l
19102	Organics, PCBs	PCB congener 149, suspended sediment, recoverable, nanograms per liter	38380-04-0	2,2',3,4',5',6-Hexachlorobiphenyl	ng/l
19103	Organics, PCBs	PCB congener 118, suspended sediment, recoverable, nanograms per liter	31508-00-6	2,3',4,4',5-Pentachlorobiphenyl	ng/l
19104	Organics, PCBs	PCB congener 146, suspended sediment, recoverable, nanograms per liter	51908-16-8	2,2',3,4',5,5'-Hexachlorobiphenyl	ng/l
19105	Organics, PCBs	PCB congeners 132 plus 153, suspended sediment, recoverable, nanograms per liter		PCB-132/153	ng/l
19106	Organics, PCBs	PCB congener 141, suspended sediment, recoverable, nanograms per liter	52712-04-6	2,2',3,4,5,5'-Hexachlorobiphenyl	ng/l
19107	Organics, PCBs	PCB congeners 137 plus 176, suspended sediment, recoverable, nanograms per liter		PCB-137/176	ng/l
19108	Organics, PCBs	PCB congeners 138 plus 163, suspended sediment, recoverable, nanograms per liter		PCB-138/163	ng/l
19109	Organics, PCBs	PCB congener 178, suspended sediment, recoverable, nanograms per liter	52663-67-9	2,2',3,3',5,5',6-Heptachlorobiphenyl	ng/l
19110	Organics, PCBs	PCB congeners 182 plus 187, suspended sediment, recoverable, nanograms per liter		PCB-182/187	ng/l
19111	Organics, PCBs	PCB congener 183, suspended sediment, recoverable, nanograms per liter	52663-69-1	2,2',3,4,4',5',6-Heptachlorobiphenyl	ng/l
19112	Organics, PCBs	PCB congener 185, suspended sediment, recoverable, nanograms per liter	52712-05-7	2,2',3,4,5,5',6-Heptachlorobiphenyl	ng/l
19113	Organics, PCBs	PCB congener 174, suspended sediment, recoverable, nanograms per liter	38411-25-5	2,2',3,3',4,5,6'-Heptachlorobiphenyl	ng/l
19114	Organics, PCBs	PCB congener 177, suspended sediment, recoverable, nanograms per liter	52663-70-4	2,2',3,3',4,5',6'-Heptachlorobiphenyl	ng/l
19115	Organics, PCBs	PCB congeners 171 plus 202, suspended sediment, recoverable, nanograms per liter		PCB-171/202	ng/l
19116	Organics, PCBs	PCB congeners 172 plus 197, suspended sediment, recoverable, nanograms per liter		PCB-172/197	ng/l
19117	Organics, PCBs	PCB congener 180, suspended sediment, recoverable, nanograms per liter	35065-29-3	2,2',3,4,4',5,5'-Heptachlorobiphenyl	ng/l
19118	Organics, PCBs	PCB congener 199, suspended sediment, recoverable, nanograms per liter	52663-75-9	2,2',3,3',4,5,5',6'-Octachlorobiphenyl	ng/l
19119	Organics, PCBs	PCB congeners 170 plus 190, suspended sediment, recoverable, nanograms per liter		PCB-170/190	ng/l
19120	Organics, PCBs	PCB congener 201, suspended sediment, recoverable, nanograms per liter	40186-71-8	2,2',3,3',4,5',6,6'-Octachlorobiphenyl	ng/l
19121	Organics, PCBs	PCB congeners 196 plus 203, suspended sediment, recoverable, nanograms per liter		PCB-196/203	ng/l
19122	Organics, PCBs	PCB congeners 195 plus 208, suspended sediment, recoverable, nanograms per liter		PCB-195/208	ng/l
19123	Organics, PCBs	PCB congener 194, suspended sediment, recoverable, nanograms per liter	35694-08-7	2,2',3,3',4,4',5,5'-Octachlorobiphenyl	ng/l
19124	Organics, PCBs	PCB congener 206, suspended sediment, recoverable, nanograms per liter	40186-72-9	2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl	ng/l
19155	Organics, PCBs	PCB congener 99, biota, tissue, recoverable, wet weight, micrograms per kilogram	38380-01-7		ug/kg
19157	Organics, PCBs	PCB congener 87, biota, tissue, recoverable, wet weight, micrograms per kilogram	38380-02-8	2,2',3,4,5'-Pentachlorobiphenyl	ug/kg
19167	Organics, PCBs	PCB congeners 132 + 153, biota, tissue, recoverable, wet weight, micrograms per kilogram		PCB-132/153	ug/kg
19180	Organics, PCBs	PCB congener 199, biota, tissue, recoverable, wet weight, micrograms per kilogram	52663-75-9		ug/kg
19186	Organics, PCBs	PCB congener 206, biota, tissue, recoverable, wet weight, micrograms per kilogram	40186-72-9		ug/kg
19253	Organics, PCBs	PCB congener 18, biota, tissue, recoverable, wet weight, micrograms per kilogram	37680-65-2	2,2',5-Trichlorobiphenyl	ug/kg
30103	Organics, PCBs	Aroclor 1016, soil, recoverable, dry weight, milligrams per kilogram	12674-11-2	Aroclor 1016	mg/kg
30104	Organics, PCBs	Aroclor 1221, soil, recoverable, dry weight, milligrams per kilogram	11104-28-2	Aroclor 1221	mg/kg
30105	Organics, PCBs	Aroclor 1232, soil, recoverable, dry weight, milligrams per kilogram	11141-16-5	Aroclor 1232	mg/kg
30106	Organics, PCBs	Aroclor 1242, soil, recoverable, dry weight, milligrams per kilogram	53469-21-9	Aroclor 1242	mg/kg
30107	Organics, PCBs	Aroclor 1248, soil, recoverable, dry weight, milligrams per kilogram	12672-29-6	Aroclor 1248	mg/kg
30108	Organics, PCBs	Aroclor 1254, soil, recoverable, dry weight, milligrams per kilogram	11097-69-1	Aroclor 1254	mg/kg
30109	Organics, PCBs	Aroclor 1260, soil, recoverable, dry weight, milligrams per kilogram	11096-82-5	Aroclor 1260	mg/kg
30335	Organics, PCBs	PCBs, water, filtered, recoverable, nanograms per liter	1336-36-3	Polychlorinated biphenyls	ng/l
34457	Organics, PCBs	Aroclor 1242, water, filtered, recoverable, micrograms per liter	53469-21-9	Aroclor 1242	ug/l
34458	Organics, PCBs	Aroclor 1242, suspended sediment, recoverable, micrograms per liter	53469-21-9	Aroclor 1242	ug/l
34662	Organics, PCBs	Aroclor 1221, water, filtered, recoverable, micrograms per liter	11104-28-2	Aroclor 1221	ug/l
34663	Organics, PCBs	Aroclor 1221, suspended sediment, recoverable, micrograms per liter	11104-28-2	Aroclor 1221	ug/l
34665	Organics, PCBs	Aroclor 1232, water, filtered, recoverable, micrograms per liter	11141-16-5	Aroclor 1232	ug/l
34666	Organics, PCBs	Aroclor 1232, suspended sediment, recoverable, micrograms per liter	11141-16-5	Aroclor 1232	ug/l
34671	Organics, PCBs	Aroclor 1016, water, unfiltered, recoverable, micrograms per liter	12674-11-2	Aroclor 1016	ug/l
34672	Organics, PCBs	Aroclor 1016, water, filtered, recoverable, micrograms per liter	12674-11-2	Aroclor 1016	ug/l
34673	Organics, PCBs	Aroclor 1016, suspended sediment, recoverable, micrograms per liter	12674-11-2	Aroclor 1016	ug/l
39488	Organics, PCBs	Aroclor 1221, water, unfiltered, recoverable, micrograms per liter	11104-28-2	Aroclor 1221	ug/l
39491	Organics, PCBs	Aroclor 1221, bed sediment, recoverable, dry weight, micrograms per kilogram	11104-28-2	Aroclor 1221	ug/kg
39492	Organics, PCBs	Aroclor 1232, water, unfiltered, recoverable, micrograms per liter	11141-16-5	Aroclor 1232	ug/l
39495	Organics, PCBs	Aroclor 1232, bed sediment, recoverable, dry weight, micrograms per kilogram	11141-16-5	Aroclor 1232	ug/kg
39496	Organics, PCBs	Aroclor 1242, water, unfiltered, recoverable, micrograms per liter	53469-21-9	Aroclor 1242	ug/l
39499	Organics, PCBs	Aroclor 1242, bed sediment, recoverable, dry weight, micrograms per kilogram	53469-21-9	Aroclor 1242	ug/kg
39500	Organics, PCBs	Aroclor 1248, water, unfiltered, recoverable, micrograms per liter	12672-29-6	Aroclor 1248	ug/l
39501	Organics, PCBs	Aroclor 1248, water, filtered, recoverable, micrograms per liter	12672-29-6	Aroclor 1248	ug/l
39502	Organics, PCBs	Aroclor 1248, suspended sediment, recoverable, micrograms per liter	12672-29-6	Aroclor 1248	ug/l
39503	Organics, PCBs	Aroclor 1248, bed sediment, recoverable, dry weight, micrograms per kilogram	12672-29-6	Aroclor 1248	ug/kg
39504	Organics, PCBs	Aroclor 1254, water, unfiltered, recoverable, micrograms per liter	11097-69-1	Aroclor 1254	ug/l
39505	Organics, PCBs	Aroclor 1254, water, filtered, recoverable, micrograms per liter	11097-69-1	Aroclor 1254	ug/l
39506	Organics, PCBs	Aroclor 1254, suspended sediment, recoverable, micrograms per liter	11097-69-1	Aroclor 1254	ug/l
39507	Organics, PCBs	Aroclor 1254, bed sediment, recoverable, dry weight, micrograms per kilogram	11097-69-1	Aroclor 1254	ug/kg
39508	Organics, PCBs	Aroclor 1260, water, unfiltered, recoverable, micrograms per liter	11096-82-5	Aroclor 1260	ug/l
39509	Organics, PCBs	Aroclor 1260, water, filtered, recoverable, micrograms per liter	11096-82-5	Aroclor 1260	ug/l
39510	Organics, PCBs	Aroclor 1260, suspended sediment, recoverable, micrograms per liter	11096-82-5	Aroclor 1260	ug/l
39511	Organics, PCBs	Aroclor 1260, bed sediment, recoverable, dry weight, micrograms per kilogram	11096-82-5	Aroclor 1260	ug/kg
39514	Organics, PCBs	Aroclor 1016, bed sediment, recoverable, dry weight, micrograms per kilogram	12674-11-2	Aroclor 1016	ug/kg
39516	Organics, PCBs	PCBs, water, unfiltered, recoverable, micrograms per liter	1336-36-3	Polychlorinated biphenyls	ug/l
39517	Organics, PCBs	PCBs, water, filtered, recoverable, micrograms per liter	1336-36-3	Polychlorinated biphenyls	ug/l
39518	Organics, PCBs	PCBs, suspended sediment, recoverable, micrograms per liter	1336-36-3	Polychlorinated biphenyls	ug/l
39519	Organics, PCBs	PCBs, bed sediment, recoverable, dry weight, micrograms per kilogram	1336-36-3	Polychlorinated biphenyls	ug/kg
46343	Organics, PCBs	Aroclor 1016 plus Aroclor 1242, bed sediment, recoverable, dry weight, micrograms per kilogram		Aroclor 1016 mixt. with Aroclor 1242	ug/kg
49354	Organics, PCBs	PCBs, biota, whole organism, recoverable, wet weight, micrograms per kilogram	1336-36-3	Polychlorinated biphenyls	ug/kg
49447	Organics, PCBs	PCB congener 1, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram	2051-60-7	2-Chlorobiphenyl	ug/kg
49459	Organics, PCBs	PCBs, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram	1336-36-3	Polychlorinated biphenyls	ug/kg
49499	Organics, PCBs	PCB congener 132, biota, tissue, recoverable, wet weight, micrograms per kilogram	38380-05-1		ug/kg
49816	Organics, PCBs	PCB congener 3, water, filtered, recoverable, nanograms per liter	2051-62-9	4-Chlorobiphenyl	ng/l
49817	Organics, PCBs	PCB congeners 4+10, water, filtered, recoverable, nanograms per liter		PCB-4/10	ng/l
49820	Organics, PCBs	PCB congener 25, water, filtered, recoverable, nanograms per liter	55712-37-3	2,3',4-Trichlorobiphenyl	ng/l
49821	Organics, PCBs	PCB congener 53, water, filtered, recoverable, nanograms per liter	41464-41-9	2,2',5,6'-Tetrachlorobiphenyl	ng/l
49822	Organics, PCBs	PCB congener 51, water, filtered, recoverable, nanograms per liter	68194-04-7	2,2',4,6'-Tetrachlorobiphenyl	ng/l
49823	Organics, PCBs	PCB congener 63, water, filtered, recoverable, nanograms per liter	74472-34-7	2,3,4',5-Tetrachlorobiphenyl	ng/l
49824	Organics, PCBs	PCB congener 66, water, filtered, recoverable, nanograms per liter	32598-10-0	2,3',4,4'-Tetrachlorobiphenyl	ng/l
49825	Organics, PCBs	PCB congener 95, water, filtered, recoverable, nanograms per liter	38379-99-6	2,2',3,5',6-Pentachlorobiphenyl	ng/l
49826	Organics, PCBs	PCB congener 89, water, filtered, recoverable, nanograms per liter	73575-57-2	2,2',3,4,6'-Pentachlorobiphenyl	ng/l
49827	Organics, PCBs	PCB congener 83, water, filtered, recoverable, nanograms per liter	60145-20-2	2,2',3,3',5-Pentachlorobiphenyl	ng/l
49830	Organics, PCBs	PCB congener 158, water, filtered, recoverable, nanograms per liter	74472-42-7	2,3,3',4,4',6-Hexachlorobiphenyl	ng/l
49832	Organics, PCBs	PCB congener 193, water, filtered, recoverable, nanograms per liter	69782-91-8	2,3,3',4',5,5',6-Heptachlorobiphenyl	ng/l
49833	Organics, PCBs	PCB congener 198, water, filtered, recoverable, nanograms per liter	68194-17-2	2,2',3,3',4,5,5',6-Octachlorobiphenyl	ng/l
49834	Organics, PCBs	PCB congener 207, water, filtered, recoverable, nanograms per liter	52663-79-3	2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl	ng/l
49835	Organics, PCBs	PCB congener 3, suspended sediment, recoverable, nanograms per liter	2051-62-9	4-Chlorobiphenyl	ng/l
49836	Organics, PCBs	PCB congeners 4+10, suspended sediment, recoverable, nanograms per liter		PCB-4/10	ng/l
49839	Organics, PCBs	PCB congener 25, suspended sediment, recoverable, nanograms per liter	55712-37-3	2,3',4-Trichlorobiphenyl	ng/l
49840	Organics, PCBs	PCB congener 53, suspended sediment, recoverable, nanograms per liter	41464-41-9	2,2',5,6'-Tetrachlorobiphenyl	ng/l
49841	Organics, PCBs	PCB congener 51, suspended sediment, recoverable, nanograms per liter	68194-04-7	2,2',4,6'-Tetrachlorobiphenyl	ng/l
49842	Organics, PCBs	PCB congener 63, suspended sediment, recoverable, nanograms per liter	74472-34-7	2,3,4',5-Tetrachlorobiphenyl	ng/l
49843	Organics, PCBs	PCB congener 66, suspended sediment, recoverable, nanograms per liter	32598-10-0	2,3',4,4'-Tetrachlorobiphenyl	ng/l
49844	Organics, PCBs	PCB congener 95, suspended sediment, recoverable, nanograms per liter	38379-99-6	2,2',3,5',6-Pentachlorobiphenyl	ng/l
49845	Organics, PCBs	PCB congener 89, suspended sediment, recoverable, nanograms per liter	73575-57-2	2,2',3,4,6'-Pentachlorobiphenyl	ng/l
